,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,Address,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE
41700930,CHOPITA,MANHATTAN,844,2 AVENUE,10017,2124997482,Mediterranean,10/28/2013,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,"844 2 AVENUE, New York City, NY 10017",39,C,10/28/2013,11/14/2014,Cycle Inspection / Re-inspection
41350556,KAMBI RAMEN,MANHATTAN,351,EAST 14 STREET,10003,2122281366,Japanese,11/22/2011,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,"351 EAST 14 STREET, New York City, NY 10003",39,C,11/22/2011,11/14/2014,Cycle Inspection / Re-inspection
41398041,HOME'S KITCHEN RESTAURANT,MANHATTAN,22,EAST 21 STREET,10010,2124755049,Chinese,12/3/2012,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,"22 EAST 21 STREET, New York City, NY 10010",39,C,12/3/2012,11/14/2014,Cycle Inspection / Re-inspection
41127243,MAMAJUANA CAFE,MANHATTAN,247,DYCKMAN STREET,10034,2123041217,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",12/11/2013,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.","247 DYCKMAN STREET, New York City, NY 10034",39,C,12/11/2013,11/14/2014,Cycle Inspection / Re-inspection
41645858,EL PARAISO,MANHATTAN,149,WEST 14 STREET,10011,3478202228,Chinese,2/14/2013,Violations were cited in the following area(s).,04J,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.","149 WEST 14 STREET, New York City, NY 10011",39,C,2/14/2013,11/14/2014,Cycle Inspection / Re-inspection
41413340,FASHION 40,MANHATTAN,202,WEST   40 STREET,10018,2122213628,American,1/17/2012,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","202 WEST   40 STREET, New York City, NY 10018",39,C,1/17/2012,11/14/2014,Cycle Inspection / Re-inspection
41398041,HOME'S KITCHEN RESTAURANT,MANHATTAN,22,EAST 21 STREET,10010,2124755049,Chinese,12/3/2012,Violations were cited in the following area(s).,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,"22 EAST 21 STREET, New York City, NY 10010",39,C,12/3/2012,11/14/2014,Cycle Inspection / Re-inspection
41563217,NELLY SPILLANE'S,MANHATTAN,18,EAST 33 STREET,10016,2127929672,American,7/3/2014,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility�s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","18 EAST 33 STREET, New York City, NY 10016",39,C,7/3/2014,11/14/2014,Cycle Inspection / Re-inspection
40849849,FAMOUS BEN'S PIZZA OF SOHO,MANHATTAN,177,SPRING STREET,10012,2129664494,Pizza,12/6/2012,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,"177 SPRING STREET, New York City, NY 10012",39,C,12/6/2012,11/14/2014,Cycle Inspection / Re-inspection
41398041,HOME'S KITCHEN RESTAURANT,MANHATTAN,22,EAST 21 STREET,10010,2124755049,Chinese,12/3/2012,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility�s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","22 EAST 21 STREET, New York City, NY 10010",39,C,12/3/2012,11/14/2014,Cycle Inspection / Re-inspection
41700930,CHOPITA,MANHATTAN,844,2 AVENUE,10017,2124997482,Mediterranean,10/28/2013,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,"844 2 AVENUE, New York City, NY 10017",39,C,10/28/2013,11/14/2014,Cycle Inspection / Re-inspection
41625232,FORCELLA,MANHATTAN,334,BOWERY,10012,2124663300,Italian,5/21/2014,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,"334 BOWERY, New York City, NY 10012",39,C,5/21/2014,11/14/2014,Cycle Inspection / Re-inspection
41592230,LA ISLA CAFE RESTAURANT,MANHATTAN,212,DELANCEY STREET,10002,2125984752,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",10/11/2013,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,"212 DELANCEY STREET, New York City, NY 10002",39,C,10/11/2013,11/14/2014,Cycle Inspection / Re-inspection
40849849,FAMOUS BEN'S PIZZA OF SOHO,MANHATTAN,177,SPRING STREET,10012,2129664494,Pizza,12/6/2012,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,"177 SPRING STREET, New York City, NY 10012",39,C,12/6/2012,11/14/2014,Cycle Inspection / Re-inspection
41127243,MAMAJUANA CAFE,MANHATTAN,247,DYCKMAN STREET,10034,2123041217,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",12/11/2013,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility�s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","247 DYCKMAN STREET, New York City, NY 10034",39,C,12/11/2013,11/14/2014,Cycle Inspection / Re-inspection
41565555,A.G KITCHEN,MANHATTAN,269,COLUMBUS AVENUE,10023,2128739400,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",9/12/2011,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,"269 COLUMBUS AVENUE, New York City, NY 10023",39,C,9/12/2011,11/14/2014,Cycle Inspection / Re-inspection
41565555,A.G KITCHEN,MANHATTAN,269,COLUMBUS AVENUE,10023,2128739400,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",9/12/2011,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility�s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","269 COLUMBUS AVENUE, New York City, NY 10023",39,C,9/12/2011,11/14/2014,Cycle Inspection / Re-inspection
41398041,HOME'S KITCHEN RESTAURANT,MANHATTAN,22,EAST 21 STREET,10010,2124755049,Chinese,12/3/2012,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,"22 EAST 21 STREET, New York City, NY 10010",39,C,12/3/2012,11/14/2014,Cycle Inspection / Re-inspection
41120220,NEW LUCK GARDEN CHINESE RESTAURANT,MANHATTAN,1954,AMSTERDAM AVENUE,10032,2122835533,Chinese,4/14/2011,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,"1954 AMSTERDAM AVENUE, New York City, NY 10032",39,C,4/14/2011,11/14/2014,Cycle Inspection / Re-inspection
41577301,COPPELIA CUBAN LUNCHEONETTE,MANHATTAN,207,WEST   14 STREET,10011,2128585001,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",4/11/2013,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,"207 WEST   14 STREET, New York City, NY 10011",39,C,4/11/2013,11/14/2014,Cycle Inspection / Re-inspection
41592230,LA ISLA CAFE RESTAURANT,MANHATTAN,212,DELANCEY STREET,10002,2125984752,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",10/11/2013,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,"212 DELANCEY STREET, New York City, NY 10002",39,C,10/11/2013,11/14/2014,Cycle Inspection / Re-inspection
41563217,NELLY SPILLANE'S,MANHATTAN,18,EAST 33 STREET,10016,2127929672,American,7/3/2014,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,"18 EAST 33 STREET, New York City, NY 10016",39,C,7/3/2014,11/14/2014,Cycle Inspection / Re-inspection
40849849,FAMOUS BEN'S PIZZA OF SOHO,MANHATTAN,177,SPRING STREET,10012,2129664494,Pizza,12/6/2012,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.","177 SPRING STREET, New York City, NY 10012",39,C,12/6/2012,11/14/2014,Cycle Inspection / Re-inspection
41563217,NELLY SPILLANE'S,MANHATTAN,18,EAST 33 STREET,10016,2127929672,American,7/3/2014,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,"18 EAST 33 STREET, New York City, NY 10016",39,C,7/3/2014,11/14/2014,Cycle Inspection / Re-inspection
41706772,CHANDNI RESTAURANT,MANHATTAN,13,WEST   29 STREET,10001,2126864456,Indian,3/14/2013,Violations were cited in the following area(s).,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140º F to 70º F or less within 2 hours, and from 70º F to 41º F or less within 4 additional hours.","13 WEST   29 STREET, New York City, NY 10001",39,C,3/14/2013,11/14/2014,Pre-permit (Operational) / Re-inspection
41592230,LA ISLA CAFE RESTAURANT,MANHATTAN,212,DELANCEY STREET,10002,2125984752,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",10/11/2013,Violations were cited in the following area(s).,04O,Live animals other than fish in tank or service animal present in facility's food and/or non-food areas.,"212 DELANCEY STREET, New York City, NY 10002",39,C,10/11/2013,11/14/2014,Cycle Inspection / Re-inspection
41174419,K-BAP,MANHATTAN,62,WEST   56 STREET,10019,9176393814,Korean,8/16/2013,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility�s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","62 WEST   56 STREET, New York City, NY 10019",39,C,8/16/2013,11/14/2014,Cycle Inspection / Re-inspection
41563217,NELLY SPILLANE'S,MANHATTAN,18,EAST 33 STREET,10016,2127929672,American,7/3/2014,Violations were cited in the following area(s).,04J,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.","18 EAST 33 STREET, New York City, NY 10016",39,C,7/3/2014,11/14/2014,Cycle Inspection / Re-inspection
41120220,NEW LUCK GARDEN CHINESE RESTAURANT,MANHATTAN,1954,AMSTERDAM AVENUE,10032,2122835533,Chinese,4/14/2011,Violations were cited in the following area(s).,04J,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.","1954 AMSTERDAM AVENUE, New York City, NY 10032",39,C,4/14/2011,11/14/2014,Cycle Inspection / Re-inspection
41120220,NEW LUCK GARDEN CHINESE RESTAURANT,MANHATTAN,1954,AMSTERDAM AVENUE,10032,2122835533,Chinese,4/14/2011,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,"1954 AMSTERDAM AVENUE, New York City, NY 10032",39,C,4/14/2011,11/14/2014,Cycle Inspection / Re-inspection
41568286,BOSIE TEA PARLOR,MANHATTAN,10,MORTON STREET,10014,2123529900,Café/Coffee/Tea,3/28/2013,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,"10 MORTON STREET, New York City, NY 10014",39,C,3/28/2013,11/14/2014,Cycle Inspection / Re-inspection
41592230,LA ISLA CAFE RESTAURANT,MANHATTAN,212,DELANCEY STREET,10002,2125984752,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",10/11/2013,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,"212 DELANCEY STREET, New York City, NY 10002",39,C,10/11/2013,11/14/2014,Cycle Inspection / Re-inspection
41630632,J J NOODLE,MANHATTAN,19,HENRY STREET,10002,2125712440,Chinese/Japanese,7/27/2012,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility�s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","19 HENRY STREET, New York City, NY 10002",39,C,7/27/2012,11/14/2014,Cycle Inspection / Re-inspection
41630632,J J NOODLE,MANHATTAN,19,HENRY STREET,10002,2125712440,Chinese/Japanese,7/27/2012,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,"19 HENRY STREET, New York City, NY 10002",39,C,7/27/2012,11/14/2014,Cycle Inspection / Re-inspection
41630632,J J NOODLE,MANHATTAN,19,HENRY STREET,10002,2125712440,Chinese/Japanese,7/27/2012,Violations were cited in the following area(s).,04J,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.","19 HENRY STREET, New York City, NY 10002",39,C,7/27/2012,11/14/2014,Cycle Inspection / Re-inspection
41577301,COPPELIA CUBAN LUNCHEONETTE,MANHATTAN,207,WEST   14 STREET,10011,2128585001,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",4/11/2013,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","207 WEST   14 STREET, New York City, NY 10011",39,C,4/11/2013,11/14/2014,Cycle Inspection / Re-inspection
41148631,PEACOCK ALLEY RESTAURANT AND BAR,MANHATTAN,301,PARK AVENUE,10022,2128724895,American,2/15/2012,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,"301 PARK AVENUE, New York City, NY 10022",39,C,2/15/2012,11/14/2014,Cycle Inspection / Re-inspection
41700930,CHOPITA,MANHATTAN,844,2 AVENUE,10017,2124997482,Mediterranean,10/28/2013,Violations were cited in the following area(s).,04J,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.","844 2 AVENUE, New York City, NY 10017",39,C,10/28/2013,11/14/2014,Cycle Inspection / Re-inspection
41231957,DIECI,MANHATTAN,228,EAST 10 STREET,10003,2123879545,Japanese,4/2/2013,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","228 EAST 10 STREET, New York City, NY 10003",39,C,4/2/2013,11/14/2014,Cycle Inspection / Re-inspection
41148631,PEACOCK ALLEY RESTAURANT AND BAR,MANHATTAN,301,PARK AVENUE,10022,2128724895,American,2/15/2012,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.","301 PARK AVENUE, New York City, NY 10022",39,C,2/15/2012,11/14/2014,Cycle Inspection / Re-inspection
40368971,LA MANGEOIRE,MANHATTAN,1008,2 AVENUE,10022,2127597086,French,3/7/2011,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.","1008 2 AVENUE, New York City, NY 10022",39,C,3/7/2011,11/14/2014,Cycle Inspection / Re-inspection
41645858,EL PARAISO,MANHATTAN,149,WEST 14 STREET,10011,3478202228,Chinese,2/14/2013,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,"149 WEST 14 STREET, New York City, NY 10011",39,C,2/14/2013,11/14/2014,Cycle Inspection / Re-inspection
41517953,JAMBA JUICE,MANHATTAN,,PENN STATION,10001,2122444462,American,5/15/2013,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility�s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","PENN STATION, New York City, NY 10001",39,C,5/15/2013,11/14/2014,Cycle Inspection / Re-inspection
41127243,MAMAJUANA CAFE,MANHATTAN,247,DYCKMAN STREET,10034,2123041217,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",12/11/2013,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,"247 DYCKMAN STREET, New York City, NY 10034",39,C,12/11/2013,11/14/2014,Cycle Inspection / Re-inspection
41577301,COPPELIA CUBAN LUNCHEONETTE,MANHATTAN,207,WEST   14 STREET,10011,2128585001,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",4/11/2013,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,"207 WEST   14 STREET, New York City, NY 10011",39,C,4/11/2013,11/14/2014,Cycle Inspection / Re-inspection
40997810,TRATTORIA TOSCANA,MANHATTAN,64,CARMINE STREET,10014,2126758736,Italian,8/26/2011,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,"64 CARMINE STREET, New York City, NY 10014",39,C,8/26/2011,11/14/2014,Cycle Inspection / Re-inspection
40997810,TRATTORIA TOSCANA,MANHATTAN,64,CARMINE STREET,10014,2126758736,Italian,8/26/2011,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,"64 CARMINE STREET, New York City, NY 10014",39,C,8/26/2011,11/14/2014,Cycle Inspection / Re-inspection
40997810,TRATTORIA TOSCANA,MANHATTAN,64,CARMINE STREET,10014,2126758736,Italian,8/26/2011,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","64 CARMINE STREET, New York City, NY 10014",39,C,8/26/2011,11/14/2014,Cycle Inspection / Re-inspection
40997810,TRATTORIA TOSCANA,MANHATTAN,64,CARMINE STREET,10014,2126758736,Italian,8/26/2011,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,"64 CARMINE STREET, New York City, NY 10014",39,C,8/26/2011,11/14/2014,Cycle Inspection / Re-inspection
41700930,CHOPITA,MANHATTAN,844,2 AVENUE,10017,2124997482,Mediterranean,10/28/2013,Violations were cited in the following area(s).,02A,Food not cooked to required minimum temperature.,"844 2 AVENUE, New York City, NY 10017",39,C,10/28/2013,11/14/2014,Cycle Inspection / Re-inspection
41433265,WA JEAL,MANHATTAN,1588,2 AVENUE,10028,2123963339,Chinese,2/20/2013,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,"1588 2 AVENUE, New York City, NY 10028",39,C,2/20/2013,11/14/2014,Cycle Inspection / Re-inspection
41662070,THE LITTLE PRINCE,MANHATTAN,199,PRINCE STREET,10012,2123350566,French,7/23/2014,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","199 PRINCE STREET, New York City, NY 10012",39,C,7/23/2014,11/14/2014,Cycle Inspection / Re-inspection
41231957,DIECI,MANHATTAN,228,EAST 10 STREET,10003,2123879545,Japanese,4/2/2013,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,"228 EAST 10 STREET, New York City, NY 10003",39,C,4/2/2013,11/14/2014,Cycle Inspection / Re-inspection
41637061,YN,MANHATTAN,227,MOTT STREET,10012,2122263330,Italian,5/2/2013,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,"227 MOTT STREET, New York City, NY 10012",39,C,5/2/2013,11/14/2014,Cycle Inspection / Re-inspection
41625232,FORCELLA,MANHATTAN,334,BOWERY,10012,2124663300,Italian,5/21/2014,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,"334 BOWERY, New York City, NY 10012",39,C,5/21/2014,11/14/2014,Cycle Inspection / Re-inspection
40821641,SEO JAPANESE RESTAURANT,MANHATTAN,249,EAST   49 STREET,10017,2123557722,Japanese,1/13/2014,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","249 EAST   49 STREET, New York City, NY 10017",40,C,1/13/2014,11/14/2014,Cycle Inspection / Re-inspection
40386515,KARAVAS PIZZA N PITA,MANHATTAN,108,7 AVENUE SOUTH,10014,2128076892,Pizza,2/20/2013,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.","108 7 AVENUE SOUTH, New York City, NY 10014",40,C,2/20/2013,11/14/2014,Cycle Inspection / Re-inspection
40885816,DANNY'S DELI,MANHATTAN,224,WEST   47 STREET,10036,2129211200,Delicatessen,4/4/2012,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,"224 WEST   47 STREET, New York City, NY 10036",40,C,4/4/2012,11/14/2014,Cycle Inspection / Re-inspection
40885816,DANNY'S DELI,MANHATTAN,224,WEST   47 STREET,10036,2129211200,Delicatessen,4/4/2012,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.","224 WEST   47 STREET, New York City, NY 10036",40,C,4/4/2012,11/14/2014,Cycle Inspection / Re-inspection
40821641,SEO JAPANESE RESTAURANT,MANHATTAN,249,EAST   49 STREET,10017,2123557722,Japanese,1/13/2014,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,"249 EAST   49 STREET, New York City, NY 10017",40,C,1/13/2014,11/14/2014,Cycle Inspection / Re-inspection
40385606,SUSHIDEN,MANHATTAN,19,EAST   49 STREET,10017,2127582700,Japanese,6/4/2013,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","19 EAST   49 STREET, New York City, NY 10017",40,C,6/4/2013,11/14/2014,Cycle Inspection / Re-inspection
40655028,SNACKS-N-WHEELS,MANHATTAN,625,8 AVENUE,10018,2125642814,American,11/2/2011,Violations were cited in the following area(s).,04J,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.","625 8 AVENUE, New York City, NY 10018",40,C,11/2/2011,11/14/2014,Cycle Inspection / Re-inspection
41386982,HAPPY WOK RESTAURANT,MANHATTAN,2033,1 AVENUE,10029,2128289666,Chinese,8/7/2013,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,"2033 1 AVENUE, New York City, NY 10029",40,C,8/7/2013,11/14/2014,Cycle Inspection / Re-inspection
41459809,AMICI 36,MANHATTAN,519,8 AVENUE,10018,2122797070,American,7/13/2012,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","519 8 AVENUE, New York City, NY 10018",40,C,7/13/2012,11/14/2014,Cycle Inspection / Re-inspection
41523593,EDI & THE WOLF,MANHATTAN,102-104,AVENUE C,10009,2125981040,German,6/13/2012,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,"102-104 AVENUE C, New York City, NY 10009",40,C,6/13/2012,11/14/2014,Cycle Inspection / Re-inspection
41647017,FIVE LAMPS TAVERN,MANHATTAN,2756,BROADWAY,10025,2126630592,American,8/6/2014,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,"2756 BROADWAY, New York City, NY 10025",40,C,8/6/2014,11/14/2014,Cycle Inspection / Re-inspection
41478031,GUY & GALLARD,MANHATTAN,240,WEST 40 STREET,10018,2123021028,American,12/5/2013,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","240 WEST 40 STREET, New York City, NY 10018",40,C,12/5/2013,11/14/2014,Cycle Inspection / Re-inspection
41386982,HAPPY WOK RESTAURANT,MANHATTAN,2033,1 AVENUE,10029,2128289666,Chinese,8/7/2013,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.","2033 1 AVENUE, New York City, NY 10029",40,C,8/7/2013,11/14/2014,Cycle Inspection / Re-inspection
41378319,L'ARTUSI,MANHATTAN,228,WEST   10 STREET,10014,2122555757,American,6/21/2011,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.","228 WEST   10 STREET, New York City, NY 10014",40,C,6/21/2011,11/14/2014,Cycle Inspection / Re-inspection
41378319,L'ARTUSI,MANHATTAN,228,WEST   10 STREET,10014,2122555757,American,6/21/2011,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","228 WEST   10 STREET, New York City, NY 10014",40,C,6/21/2011,11/14/2014,Cycle Inspection / Re-inspection
41386982,HAPPY WOK RESTAURANT,MANHATTAN,2033,1 AVENUE,10029,2128289666,Chinese,8/7/2013,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,"2033 1 AVENUE, New York City, NY 10029",40,C,8/7/2013,11/14/2014,Cycle Inspection / Re-inspection
41478031,GUY & GALLARD,MANHATTAN,240,WEST 40 STREET,10018,2123021028,American,12/5/2013,Violations were cited in the following area(s).,04D,"Food worker does not wash hands thoroughly after using the toilet, coughing, sneezing, smoking, eating, preparing raw foods or otherwise contaminating hands.","240 WEST 40 STREET, New York City, NY 10018",40,C,12/5/2013,11/14/2014,Cycle Inspection / Re-inspection
40918355,NEELY'S BARBECUE PARLOR/MERCHANTS,MANHATTAN,1125,1 AVENUE,10065,2128321551,Barbecue,2/12/2013,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,"1125 1 AVENUE, New York City, NY 10065",40,C,2/12/2013,11/14/2014,Cycle Inspection / Re-inspection
40369753,VIAND CAFE,MANHATTAN,1011,MADISON AVENUE,10075,2122498250,American,11/21/2012,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.","1011 MADISON AVENUE, New York City, NY 10075",40,C,11/21/2012,11/14/2014,Cycle Inspection / Re-inspection
41378319,L'ARTUSI,MANHATTAN,228,WEST   10 STREET,10014,2122555757,American,6/21/2011,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,"228 WEST   10 STREET, New York City, NY 10014",40,C,6/21/2011,11/14/2014,Cycle Inspection / Re-inspection
40369753,VIAND CAFE,MANHATTAN,1011,MADISON AVENUE,10075,2122498250,American,11/21/2012,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,"1011 MADISON AVENUE, New York City, NY 10075",40,C,11/21/2012,11/14/2014,Cycle Inspection / Re-inspection
40385606,SUSHIDEN,MANHATTAN,19,EAST   49 STREET,10017,2127582700,Japanese,6/4/2013,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.","19 EAST   49 STREET, New York City, NY 10017",40,C,6/4/2013,11/14/2014,Cycle Inspection / Re-inspection
41647017,FIVE LAMPS TAVERN,MANHATTAN,2756,BROADWAY,10025,2126630592,American,8/6/2014,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","2756 BROADWAY, New York City, NY 10025",40,C,8/6/2014,11/14/2014,Cycle Inspection / Re-inspection
